,TH[V],HV[V],N[5min]
540,0.486486486,982.4324324,0.64
541,0.487387387,982.8628629,0.64
542,0.488288288,983.2932933,0.64
543,0.489189189,983.7237237,0.64
544,0.49009009,984.1541542,0.64
545,0.490990991,984.5845846,0.64
546,0.491891892,985.015015,0.64
547,0.492792793,985.4454454,0.64
548,0.493693694,985.8758759,0.64
549,0.494594595,986.3063063,0.64
550,0.495495495,986.7367367,0.64
551,0.496396396,987.1671672,0.64
552,0.497297297,987.5975976,0.64
553,0.498198198,988.028028,0.64
554,0.499099099,988.4584585,0.64
555,0.5,988.8888889,0.64
556,0.500900901,989.3193193,0.64
557,0.501801802,989.7497497,0.64
558,0.502702703,990.1801802,0.64
559,0.503603604,990.6106106,0.64
560,0.504504505,991.041041,0.64
561,0.505405405,991.4714715,0.64
562,0.506306306,991.9019019,0.64
563,0.507207207,992.3323323,0.64
564,0.508108108,992.7627628,0.64
565,0.509009009,993.1931932,0.64
566,0.50990991,993.6236236,0.64
567,0.510810811,994.0540541,0.64
568,0.511711712,994.4844845,0.64
569,0.512612613,994.9149149,0.64
570,0.513513514,995.3453453,0.64
571,0.514414414,995.7757758,0.64
572,0.515315315,996.2062062,0.64
573,0.516216216,996.6366366,0.64
574,0.517117117,997.0670671,0.64
575,0.518018018,997.4974975,0.64
576,0.518918919,997.9279279,0.64
577,0.51981982,998.3583584,0.64
578,0.520720721,998.7887888,0.64
579,0.521621622,999.2192192,0.64
580,0.522522523,999.6496496,0.64
581,0.523423423,1000.08008,0.64
582,0.524324324,1000.510511,0.64
583,0.525225225,1000.940941,0.64
584,0.526126126,1001.371371,0.64
585,0.527027027,1001.801802,0.64
586,0.527927928,1002.232232,0.64
587,0.528828829,1002.662663,0.64
588,0.52972973,1003.093093,0.64
589,0.530630631,1003.523524,0.64
590,0.531531532,1003.953954,0.64
591,0.532432432,1004.384384,0.64
592,0.533333333,1004.814815,0.64
593,0.534234234,1005.245245,0.64
594,0.535135135,1005.675676,0.64
595,0.536036036,1006.106106,0.64
596,0.536936937,1006.536537,0.64
597,0.537837838,1006.966967,0.64
598,0.538738739,1007.397397,0.64
599,0.53963964,1007.827828,0.64
600,0.540540541,1008.258258,0.64
601,0.541441441,1008.688689,0.64
602,0.542342342,1009.119119,0.64
603,0.543243243,1009.54955,0.64
604,0.544144144,1009.97998,0.64
605,0.545045045,1010.41041,0.64
606,0.545945946,1010.840841,0.64
607,0.546846847,1011.271271,0.64
608,0.547747748,1011.701702,0.64
609,0.548648649,1012.132132,0.64
610,0.54954955,1012.562563,0.64
611,0.55045045,1012.992993,0.64
612,0.551351351,1013.423423,0.64
613,0.552252252,1013.853854,0.64
614,0.553153153,1014.284284,0.64
615,0.554054054,1014.714715,0.64
616,0.554954955,1015.145145,0.64
617,0.555855856,1015.575576,0.64
618,0.556756757,1016.006006,0.64
619,0.557657658,1016.436436,0.64
620,0.558558559,1016.866867,0.64
621,0.559459459,1017.297297,0.64
622,0.56036036,1017.727728,0.64
623,0.561261261,1018.158158,0.64
624,0.562162162,1018.588589,0.64
625,0.563063063,1019.019019,0.64
626,0.563963964,1019.449449,0.64
